_id,client_ip,login_timestamp,login_epoch,logout_timestamp,logout_epoch,session_duration,status,error_code,device_type,device,device_model,os_name,os_version,client_name,client_version,login_method,access_token,refresh_token,redis_request_id,session_expiry,session_expiry_epoch,header_data,api_version,employee_id,employee_name,is_manually_logout,application_identifier,session_data,response_data,username,is_refresh_token_used,employee_number,Rule_Based_Anomaly,Cluster,anomaly_score,Model_Result,Final_Result
378,28,377,1751874357845,-1,,7200000.0,True,-1,0,0,0,2,0,2,140.0,0,46,46,71,310,1751881557845.0,504,1,89515,46,False,0,38,84,67,False,90682.0,0,1,4.578953187853152,Anomaly,Anomaly
315,23,314,1751703984048,246,1751704319379.0,335331.0,True,-1,0,0,0,2,0,2,140.0,0,374,374,32,257,1751711184048.0,510,1,127435,1,True,0,223,1,5,False,126567.0,0,3,4.1666324545732385,Anomaly,Anomaly
399,62,398,1751970092200,308,1751970317920.0,225720.0,True,-1,0,0,0,2,1,2,115.0,0,364,364,119,321,1751977292200.0,370,1,110818,18,True,0,88,32,33,False,110682.0,0,0,5.85640939573722,Anomaly,Anomaly
320,127,319,1751707258654,251,1751707388320.0,129666.0,True,-1,0,0,0,2,0,2,140.0,0,335,335,170,262,1751714458654.0,144,1,106897,7,True,0,199,10,13,False,106765.0,0,3,3.8636712311658057,Anomaly,Anomaly
322,56,321,1751707410307,256,1751708818496.0,1408189.0,True,-1,1,0,0,0,0,1,137.0,0,407,407,334,263,1751714610307.0,16,1,999999,22,True,0,25,42,30,False,999999.0,0,4,6.887724812957379,Anomaly,Anomaly
326,127,325,1751708014371,-1,,7200000.0,True,-1,0,0,0,2,0,0,138.0,0,85,85,409,267,1751715214371.0,490,1,94673,34,False,0,252,64,49,False,95840.0,0,1,4.252988890610719,Anomaly,Anomaly
398,62,397,1751969708131,309,1751970338327.0,630196.0,True,-1,0,0,0,2,1,2,115.0,0,39,39,386,320,1751976908131.0,283,1,85116,11,True,0,370,21,19,False,86283.0,0,0,5.772757748385057,Anomaly,Anomaly
400,62,399,1751970338327,310,1751970437147.0,98820.0,True,-1,0,0,0,2,1,2,115.0,0,28,28,137,322,1751977538327.0,498,1,85116,11,True,0,371,21,19,False,86283.0,0,0,5.972970693757733,Anomaly,Anomaly
402,62,401,1751970467422,311,1751970715032.0,247610.0,True,-1,0,0,0,2,1,2,115.0,0,361,361,87,324,1751977667422.0,369,1,110818,18,True,0,89,32,33,False,110682.0,0,0,5.876209850931993,Anomaly,Anomaly
406,19,405,1751976464295,318,1751976737826.0,273531.0,True,-1,0,0,0,1,4,0,133.0,0,383,383,3,328,1751983664295.0,480,1,999999,22,True,0,10,40,30,False,999999.0,0,4,6.316074164963491,Anomaly,Anomaly
412,60,411,1752164489531,351,1753707074377.0,1542584846.0,True,-1,0,0,0,2,0,0,138.0,0,403,403,276,334,1752171689531.0,8,1,999999,22,False,0,15,40,30,False,999999.0,0,4,11.095783616664715,Anomaly,Anomaly
418,36,417,1752230429026,-1,,7200000.0,True,-1,0,0,0,2,0,2,140.0,0,225,225,43,336,1752237629026.0,262,1,101152,31,False,0,339,60,44,False,102319.0,0,1,3.866493324615473,Anomaly,Anomaly
293,36,292,1751626948732,325,1752230429026.0,603480294.0,True,-1,0,0,0,2,0,2,140.0,0,226,226,54,236,1751634148732.0,215,1,101152,31,False,0,338,59,44,False,102319.0,0,1,4.635771346124658,Anomaly,Anomaly
397,104,396,1751969689174,326,1752478535043.0,508845869.0,True,-1,0,0,0,2,0,0,138.0,0,298,298,76,319,1751976889174.0,434,1,106293,14,False,0,175,25,26,False,106161.0,0,0,4.903139911940751,Anomaly,Anomaly
314,30,313,1751703953829,328,1752486785912.0,782832083.0,True,-1,0,0,0,2,0,2,140.0,0,134,134,99,256,1751711153829.0,173,1,1765,17,False,0,352,30,32,False,2932.0,0,0,6.07980177864237,Anomaly,Anomaly
433,105,432,1752738642305,-1,,7200000.0,True,-1,0,0,0,2,0,2,140.0,0,271,271,311,346,1752745842305.0,340,1,104806,26,False,0,216,51,40,False,105973.0,0,1,4.160158913213173,Anomaly,Anomaly
427,128,426,1752728092305,336,1752738792808.0,10700503.0,True,-1,0,0,0,2,0,2,140.0,0,7,7,393,345,1752735292305.0,220,1,105574,13,False,0,375,23,24,False,70969.0,0,0,3.8988565835051356,Anomaly,Anomaly
435,128,434,1752745382231,338,1752747504885.0,2122654.0,True,-1,0,0,0,2,0,2,140.0,0,0,0,84,348,1752752582231.0,506,1,105574,13,True,0,377,23,24,False,70969.0,0,0,4.2808678197268115,Anomaly,Anomaly
279,46,278,1751616886527,348,1753424241642.0,1807355115.0,True,-1,0,0,0,2,0,0,137.0,0,174,174,371,226,1751624086527.0,483,1,3612,33,False,0,395,61,51,False,4779.0,0,1,13.111392399249386,Anomaly,Anomaly
